Title,NetFlix,Genre,Year ,Premiere,Runtime,Language
The Polka King,NetFlix Original,Comedy drama,2018,12-Jan-18,1 h 34 min,English
Step Sisters,NetFlix Original,Comedy,2018,19-Jan-18,1 h 48 min,English
The Open House,NetFlix Original,Horror thriller,2018,19-Jan-18,1 h 34 min,English
A Futile and Stupid Gesture,NetFlix Original,Biographical / Comedy,2018,26-Jan-18,1 h 41 min,English
The Cloverfield Paradox,NetFlix Original,Science fiction,2018,4-Feb-18,1 h 42 min,English
When We First Met,NetFlix Original,Romantic comedy,2018,9-Feb-18,1 h 37 min,English
Love Per Square Foot,NetFlix Original,Romantic comedy,2018,14-Feb-18,2 h 13 min,Hindi
Irreplaceable You,NetFlix Original,Drama,2018,16-Feb-18,1 h 36 min,English
Mute,NetFlix Original,Science fiction / Mystery,2018,23-Feb-18,2 h 6 min,English
The Outsider,NetFlix Original,Crime drama,2018,9-Mar-18,2 h,English
Benji,NetFlix Original,Family,2018,16-Mar-18,1 h 27 min,English
"Game Over, Man!",NetFlix Original,Action / Comedy,2018,23-Mar-18,1 h 41 min,English
Paradox,NetFlix Original,Musical / Western / Fantasy,2018,23-Mar-18,1 h 13 min,English
Roxanne Roxanne,NetFlix Original,Biopic,2018,23-Mar-18,1 h 40 min,English
Happy Anniversary,NetFlix Original,Romantic comedy,2018,30-Mar-18,1 h 18 min,English
First Match,NetFlix Original,Sports-drama,2018,30-Mar-18,1 h 42 min,English
6 Balloons,NetFlix Original,Drama,2018,6-Apr-18,1 h 15 min,English
Amateur,NetFlix Original,Sports-drama,2018,6-Apr-18,1 h 36 min,English
Come Sunday,NetFlix Original,Biopic,2018,13-Apr-18,1 h 45 min,English
I Am Not an Easy Man,NetFlix Original,Romantic comedy,2018,13-Apr-18,1 h 38 min,French
Dude,NetFlix Original,Teen comedy-drama,2018,20-Apr-18,1 h 37 min,English
Candy Jar,NetFlix Original,Comedy,2018,27-Apr-18,1 h 32 min,English
The Week Of,NetFlix Original,Comedy,2018,27-Apr-18,1 h 56 min,English
Sometimes,NetFlix Original,Drama,2018,1-May-18,1 h 41 min,Tamil
Forgive Us Our Debts,NetFlix Original,Drama,2018,4-May-18,1 h 44 min,Italian
The Kissing Booth,NetFlix Original,Romantic comedy,2018,11-May-18,1 h 46 min,English
Cargo,NetFlix Original,Drama / Horror,2018,18-May-18,1 h 44 min,English
Ibiza,NetFlix Original,Comedy,2018,25-May-18,1 h 34 min,English
Alex Strangelove,NetFlix Original,Romantic comedy,2018,8-Jun-18,1 h 39 min,English
Set It Up,NetFlix Original,Romantic comedy,2018,15-Jun-18,1 h 45 min,English
Lust Stories,NetFlix Original,Drama,2018,15-Jun-18,2 h,Hindi
"To Each, Her Own",NetFlix Original,Romantic comedy,2018,24-Jun-18,1 h 35 min,French
Calibre,NetFlix Original,Thriller,2018,29-Jun-18,1 h 41 min,English
TAU,NetFlix Original,Science fiction / Thriller,2018,29-Jun-18,1 h 37 min,English
The Legacy of a Whitetail Deer Hunter,NetFlix Original,Adventure / Comedy,2018,6-Jul-18,1 h 23 min,English
How It Ends,NetFlix Original,Action-thriller,2018,13-Jul-18,1 h 53 min,English
Father of the Year,NetFlix Original,Comedy,2018,20-Jul-18,1 h 34 min,English
Extinction,NetFlix Original,Science fiction / Thriller,2018,27-Jul-18,1 h 35 min,English
Brij Mohan Amar Rahe,NetFlix Original,Comedy,2018,3-Aug-18,1 h 40 min,Hindi
Like Father,NetFlix Original,Comedy,2018,3-Aug-18,1 h 43 min,English
The Package,NetFlix Original,Black comedy,2018,10-Aug-18,1 h 34 min,English
To All the Boys I’ve Loved Before,NetFlix Original,Romantic comedy,2018,17-Aug-18,1 h 40 min,English
The After Party,NetFlix Original,Comedy,2018,24-Aug-18,1 h 29 min,English
Sierra Burgess Is a Loser,NetFlix Original,Romantic comedy-drama,2018,7-Sep-18,1 h 46 min,English
The Most Assassinated Woman in the World,NetFlix Original,Thriller,2018,7-Sep-18,1 h 42 min,French
On My Skin,NetFlix Original,Crime drama,2018,12-Sep-18,1 h 40 min,Italian
The Land of Steady Habits,NetFlix Original,Drama,2018,14-Sep-18,1 h 38 min,English
The Angel,NetFlix Original,Spy thriller,2018,14-Sep-18,1 h 54 min,English
Nappily Ever After,NetFlix Original,Comedy drama,2018,21-Sep-18,1 h 38 min,English
Hold the Dark,NetFlix Original,Thriller,2018,28-Sep-18,2 h 5 min,English
Malevolent,NetFlix Original,Horror-thriller,2018,5-Oct-18,1 h 28 min,English
Private Life,NetFlix Original,Drama,2018,5-Oct-18,2 h 4 min,English
22-Jul,NetFlix Original,Drama,2018,10-Oct-18,2 h 24 min,English
Apostle,NetFlix Original,Horror-thriller,2018,12-Oct-18,2 h 10 min,English
The Night Comes for Us,NetFlix Original,Action-thriller,2018,19-Oct-18,2 h,Indonesian
Been So Long,NetFlix Original,Musical,2018,26-Oct-18,1 h 40 min,English
The Holiday Calendar,NetFlix Original,Romantic comedy,2018,2-Nov-18,1 h 35 min,English
The Other Side of the Wind,NetFlix Original,Drama,2018,2-Nov-18,2 h 2 min,English
Outlaw King,NetFlix Original,Historical-epic,2018,9-Nov-18,2 h 1 min,English
The Princess Switch,NetFlix Original,Romantic comedy,2018,16-Nov-18,1 h 42 min,English
Cam,NetFlix Original,Psychological horror,2018,16-Nov-18,1 h 34 min,English
The Ballad of Buster Scruggs,NetFlix Original,Western,2018,16-Nov-18,2 h 13 min,English
The Christmas Chronicles,NetFlix Original,Christmas / Fantasy / Adventure / Comedy,2018,22-Nov-18,1 h 45 min,English
A Christmas Prince: The Royal Wedding,NetFlix Original,Romantic comedy,2018,30-Nov-18,1 h 33 min,English
Rajma Chawal,NetFlix Original,Comedy drama,2018,30-Nov-18,1 h 58 min,Hindi
5 Star Christmas,NetFlix Original,Comedy,2018,7-Dec-18,1 h 35 min,Italian
Mowgli: Legend of the Jungle,NetFlix Original,Adventure,2018,7-Dec-18,1 h 44 min,English
Roma,NetFlix Original,Drama,2018,14-Dec-18,2 h 14 min,Spanish
Bird Box,NetFlix Original,Psychological thriller,2018,21-Dec-18,2 h 4 min,English
Lionheart,NetFlix Original,Comedy,2019,4-Jan-19,1 h 34 min,English
The Last Laugh,NetFlix Original,Comedy drama,2019,11-Jan-19,1 h 38 min,English
IO,NetFlix Original,Science fiction / Drama,2019,18-Jan-19,1 h 36 min,English
Soni,NetFlix Original,Crime drama,2019,18-Jan-19,1 h 37 min,Hindi
Polar,NetFlix Original,Action,2019,25-Jan-19,1 h 58 min,English
Velvet Buzzsaw,NetFlix Original,Thriller,2019,1-Feb-19,1 h 52 min,English
High Flying Bird,NetFlix Original,Sports-drama,2019,8-Feb-19,1 h 30 min,English
Firebrand,NetFlix Original,Drama,2019,22-Feb-19,1 h 56 min,Marathi
Paris Is Us,NetFlix Original,Romance drama,2019,22-Feb-19,1 h 24 min,French
Paddleton,NetFlix Original,Drama-Comedy,2019,22-Feb-19,1 h 29 min,English
Walk. Ride. Rodeo.,NetFlix Original,Drama,2019,8-Mar-19,1 h 39 min,English
Juanita,NetFlix Original,Drama,2019,8-Mar-19,1 h 30 min,English
Triple Frontier,NetFlix Original,Action-thriller,2019,13-Mar-19,2 h 5 min,English
Altered Carbon: Resleeved,NetFlix Original,Anime/Science fiction,2020,19-Mar-20,1 h 14 min,Japanese
The Dirt,NetFlix Original,Biopic,2019,22-Mar-19,1 h 48 min,English
The Highwaymen,NetFlix Original,Crime drama,2019,29-Mar-19,2 h 12 min,English
15-Aug,NetFlix Original,Comedy drama,2019,29-Mar-19,2 h 4 min,Marathi
Unicorn Store,NetFlix Original,Comedy,2019,5-Apr-19,1 h 31 min,English
Who Would You Take to a Deserted Island?,NetFlix Original,Drama,2019,12-Apr-19,1 h 33 min,Spanish
The Perfect Date,NetFlix Original,Romantic comedy,2019,12-Apr-19,1 h 30 min,English
Someone Great,NetFlix Original,Romantic comedy,2019,19-Apr-19,1 h 32 min,English
Music Teacher,NetFlix Original,Drama,2019,19-Apr-19,1 h 41 min,Hindi
Despite Everything,NetFlix Original,Comedy,2019,3-May-19,1 h 18 min,Spanish
The Last Summer,NetFlix Original,Romantic comedy,2019,3-May-19,1 h 49 min,English
Wine Country,NetFlix Original,Comedy,2019,10-May-19,1 h 43 min,English
Good Sam,NetFlix Original,Drama,2019,16-May-19,1 h 30 min,English
See You Yesterday,NetFlix Original,Science fiction,2019,17-May-19,1 h 27 min,English
Rim of the World,NetFlix Original,Science fiction adventure,2019,24-May-19,1 h 39 min,English
The Perfection,NetFlix Original,Horror-thriller,2019,24-May-19,1 h 30 min,English
Always Be My Maybe,NetFlix Original,Romantic comedy,2019,31-May-19,1 h 42 min,English
Chopsticks,NetFlix Original,Comedy,2019,31-May-19,1 h 40 min,Hindi
Elisa & Marcela,NetFlix Original,Romance,2019,7-Jun-19,1 h 58 min,Spanish
Murder Mystery,NetFlix Original,Comedy mystery,2019,14-Jun-19,1 h 37 min,English
Beats,NetFlix Original,Drama,2019,19-Jun-19,1 h 50 min,English
Point Blank,NetFlix Original,Action,2019,12-Jul-19,1 h 26 min,English
Secret Obsession,NetFlix Original,Thriller,2019,18-Jul-19,1 h 37 min,English
The Red Sea Diving Resort,NetFlix Original,Spy thriller,2019,31-Jul-19,2 h 10 min,English
Otherhood,NetFlix Original,Comedy,2019,2-Aug-19,1 h 40 min,English
Jaoon Kahan Bata Ae Dil,NetFlix Original,Drama,2019,9-Aug-19,1 h 46 min,Hindi
Invader Zim: Enter the Florpus,NetFlix Original,Animation / Science fiction,2019,16-Aug-19,1 h 11 min,English
Sextuplets,NetFlix Original,Comedy,2019,16-Aug-19,1 h 39 min,English
Falling Inn Love,NetFlix Original,Romantic comedy,2019,29-Aug-19,1 h 38 min,English
Back to School,NetFlix Original,Comedy,2019,30-Aug-19,1 h 23 min,French
Tall Girl,NetFlix Original,Comedy drama,2019,13-Sep-19,1 h 42 min,English
Between Two Ferns: The Movie,NetFlix Original,Comedy,2019,20-Sep-19,1 h 22 min,English
In the Shadow of the Moon,NetFlix Original,Thriller,2019,27-Sep-19,1 h 55 min,English
In the Tall Grass,NetFlix Original,Horror,2019,4-Oct-19,1 h 41 min,English
El Camino: A Breaking Bad Movie,NetFlix Original,Crime drama,2019,11-Oct-19,2 h 2 min,English
Fractured,NetFlix Original,Thriller,2019,11-Oct-19,1 h 40 min,English
The Forest of Love,NetFlix Original,Drama,2019,11-Oct-19,2 h 31 min,Japanese
Street Flow,NetFlix Original,Drama,2019,12-Oct-19,1 h 36 min,French
Eli,NetFlix Original,Horror,2019,18-Oct-19,1 h 38 min,English
Seventeen,NetFlix Original,Coming-of-age comedy drama,2019,18-Oct-19,1 h 39 min,Spanish
The Laundromat,NetFlix Original,Comedy drama,2019,18-Oct-19,1 h 36 min,English
