Title,Director
The Polka King,12-Jan-18
Step Sisters,19-Jan-18
The Open House,19-Jan-18
A Futile and Stupid Gesture,26-Jan-18
The Cloverfield Paradox,4-Feb-18
When We First Met,9-Feb-18
Love Per Square Foot,14-Feb-18
Irreplaceable You,16-Feb-18
Mute,23-Feb-18
The Outsider,9-Mar-18
Benji,16-Mar-18
"Game Over, Man!",23-Mar-18
Paradox,23-Mar-18
Roxanne Roxanne,23-Mar-18
Happy Anniversary,30-Mar-18
First Match,30-Mar-18
6 Balloons,6-Apr-18
Amateur,6-Apr-18
Come Sunday,13-Apr-18
I Am Not an Easy Man,13-Apr-18
Dude,20-Apr-18
Candy Jar,27-Apr-18
The Week Of,27-Apr-18
Sometimes,1-May-18
Forgive Us Our Debts,4-May-18
The Kissing Booth,11-May-18
Cargo,18-May-18
Ibiza,25-May-18
Alex Strangelove,8-Jun-18
Set It Up,15-Jun-18
Lust Stories,15-Jun-18
"To Each, Her Own",24-Jun-18
Calibre,29-Jun-18
TAU,29-Jun-18
The Legacy of a Whitetail Deer Hunter,6-Jul-18
How It Ends,13-Jul-18
Father of the Year,20-Jul-18
Extinction,27-Jul-18
Brij Mohan Amar Rahe,3-Aug-18
Like Father,3-Aug-18
The Package,10-Aug-18
To All the Boys I’ve Loved Before,17-Aug-18
The After Party,24-Aug-18
Sierra Burgess Is a Loser,7-Sep-18
The Most Assassinated Woman in the World,7-Sep-18
On My Skin,12-Sep-18
The Land of Steady Habits,14-Sep-18
The Angel,14-Sep-18
Nappily Ever After,21-Sep-18
Hold the Dark,28-Sep-18
Malevolent,5-Oct-18
Private Life,5-Oct-18
22-Jul,10-Oct-18
Apostle,12-Oct-18
The Night Comes for Us,19-Oct-18
Been So Long,26-Oct-18
The Holiday Calendar,2-Nov-18
The Other Side of the Wind,2-Nov-18
Outlaw King,9-Nov-18
The Princess Switch,16-Nov-18
Cam,16-Nov-18
The Ballad of Buster Scruggs,16-Nov-18
The Christmas Chronicles,22-Nov-18
A Christmas Prince: The Royal Wedding,30-Nov-18
Rajma Chawal,30-Nov-18
5 Star Christmas,7-Dec-18
