Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,original_language,release_date,budget,revenue
Insidious: The Last Key,2018,05 Jan 2018,103 min,"Horror, Mystery, Thriller",6 nominations,49.0,5.7,"62,852",tt5726086,"$67,745,330",en,2018-01-03,10000000.0,167885588.0
The Strange Ones,2017,05 Jan 2018,81 min,"Drama, Thriller",5 wins & 11 nominations,57.0,5.1,"2,741",tt6014904,,en,2018-01-05,0.0,0.0
Stratton,2017,05 Jan 2018,95 min,"Action, Thriller",,26.0,4.8,"5,398",tt3567666,,,,,
Sweet Country,2017,06 Apr 2018,113 min,"Adventure, Crime, Drama",22 wins & 29 nominations,88.0,6.9,"8,825",tt6958212,"$104,297",en,2018-01-25,0.0,0.0
The Commuter,2018,12 Jan 2018,104 min,"Action, Mystery, Thriller",2 nominations,56.0,6.3,"118,862",tt1590193,"$36,343,858",en,2018-01-11,30000000.0,119942387.0
Proud Mary,2018,12 Jan 2018,89 min,"Action, Crime, Drama",1 win & 4 nominations,35.0,5.0,"10,240",tt6421110,"$20,877,013",en,2018-01-12,14000000.0,21753365.0
Proud Mary,2018,12 Jan 2018,89 min,"Action, Crime, Drama",1 win & 4 nominations,35.0,5.0,"10,240",tt6421110,"$20,877,013",ko,2019-09-28,0.0,0.0
Acts of Violence,2018,12 Jan 2018,86 min,"Action, Crime, Thriller",,28.0,5.3,"12,708",tt6684714,,en,2018-01-12,0.0,0.0
Freak Show,2017,12 Jan 2018,91 min,"Comedy, Drama",4 nominations,54.0,6.5,"4,371",tt5089534,"$19,696",en,2018-01-12,0.0,0.0
Humor Me,2017,12 Jan 2018,93 min,Comedy,1 win & 1 nomination,53.0,6.1,"1,333",tt5658242,"$40,099",,,,
Vazante,2017,12 Jan 2018,116 min,"Adventure, Drama",5 wins & 32 nominations,68.0,6.3,641,tt4673790,"$23,884",en,2018-06-10,2424713.0,100.0
Mary and the Witch's Flower,2017,08 Jul 2017,103 min,"Animation, Adventure, Family",7 nominations,74.0,6.8,"14,943",tt6336356,"$2,418,404",,,,
12 Strong,2018,19 Jan 2018,130 min,"Action, Drama, History",3 nominations,54.0,6.5,"85,069",tt1413492,"$45,819,713",en,2018-01-16,35000000.0,67450815.0
Den of Thieves,2018,19 Jan 2018,140 min,"Action, Crime, Drama",1 nomination,49.0,7.0,"116,418",tt1259528,"$44,947,622",en,2018-01-18,30000000.0,80509622.0
Forever My Girl,2018,19 Jan 2018,108 min,"Comedy, Drama, Music",,36.0,6.6,"18,579",tt4103724,"$16,376,066",en,2018-01-26,3500000.0,16367326.0
Maze Runner: The Death Cure,2018,26 Jan 2018,143 min,"Action, Adventure, Sci-Fi",7 nominations,50.0,6.2,"147,198",tt4500922,"$58,032,443",en,2018-01-10,62000000.0,288175335.0
The Insult,2017,25 Jun 2019,113 min,"Crime, Drama, Thriller",Nominated for 1 Oscar. 20 wins & 20 nominations total,72.0,7.6,"17,336",tt7048622,"$1,001,305",,,,
Please Stand By,2017,26 Jan 2018,93 min,"Comedy, Drama",,49.0,6.7,"14,246",tt4652650,"$9,868",en,2018-01-26,0.0,0.0
Winchester,2018,02 Feb 2018,99 min,"Drama, Fantasy, Horror",6 wins & 10 nominations,28.0,5.4,"35,122",tt1072748,"$25,091,816",en,2018-02-02,3500000.0,44019588.0
A Fantastic Woman,2017,02 Feb 2018,104 min,Drama,Won 1 Oscar. 32 wins & 42 nominations total,85.0,7.2,"26,347",tt5639354,"$2,020,988",,,,
Armed,2018,14 Sep 2018,118 min,"Action, Thriller",1 nomination,,3.5,482,tt4824316,"$3,948",en,2018-09-14,0.0,0.0
The Cloverfield Paradox,2018,04 Feb 2018,102 min,"Action, Adventure, Horror",1 nomination,37.0,5.5,"108,105",tt2548396,,en,2018-02-04,45000000.0,0.0
Bad Apples,2018,06 Feb 2018,85 min,Horror,,,3.2,"1,792",tt7091300,,en,2018-02-06,0.0,0.0
Peter Rabbit,2018,09 Feb 2018,95 min,"Adventure, Comedy, Crime",4 wins & 17 nominations,51.0,6.6,"44,615",tt5117670,"$115,253,424",en,2018-02-07,50000000.0,351266433.0
Fifty Shades Freed,2018,09 Feb 2018,105 min,"Drama, Romance, Thriller",6 wins & 10 nominations,31.0,4.5,"68,360",tt4477536,"$100,407,760",en,2018-01-17,55000000.0,368307760.0
The 15:17 to Paris,2018,09 Feb 2018,94 min,"Biography, Drama, Thriller",1 win & 3 nominations,45.0,5.3,"34,574",tt6802308,"$36,276,286",en,2018-02-02,30000000.0,57076286.0
La boda de Valentina,2018,09 Feb 2018,107 min,"Comedy, Romance",,,4.7,714,tt4823538,"$2,783,739",,,,
Kri,2018,23 Feb 2018,138 min,"Action, Drama",1 win & 1 nomination,,5.7,140,tt7528086,,ne,2018-02-09,0.0,0.0
Permission,2017,09 Feb 2018,96 min,"Comedy, Drama, Romance",,62.0,5.3,"4,686",tt5390066,,en,2018-02-09,0.0,0.0
Permission,2017,09 Feb 2018,96 min,"Comedy, Drama, Romance",,62.0,5.3,"4,686",tt5390066,,fr,2019-12-01,0.0,0.0
Monster Family,2017,09 Feb 2018,93 min,"Animation, Comedy, Family",,,4.8,"5,100",tt6572702,"$127,259",,,,
Golden Exits,2017,09 Feb 2018,94 min,Drama,2 wins & 7 nominations,71.0,5.7,"2,231",tt5687814,"$41,888",en,2018-02-09,10000000.0,0.0
Golden Exits,2017,09 Feb 2018,94 min,Drama,2 wins & 7 nominations,71.0,5.7,"2,231",tt5687814,"$41,888",en,2018-02-09,10000000.0,0.0
Black Panther,2018,16 Feb 2018,134 min,"Action, Adventure, Sci-Fi",Won 3 Oscars. 117 wins & 282 nominations total,88.0,7.3,"795,068",tt1825683,"$700,426,566",en,2018-02-13,200000000.0,1349926083.0
Early Man,2018,16 Feb 2018,89 min,"Animation, Adventure, Comedy",1 win & 15 nominations,68.0,6.1,"22,809",tt4701724,"$8,267,544",en,2018-01-26,50000000.0,53431158.0
Loveless,2017,01 Jun 2017,127 min,Drama,Nominated for 1 Oscar. 28 wins & 49 nominations total,86.0,7.6,"34,046",tt6304162,"$566,356",es,2020-09-30,0.0,0.0
Loveless,2017,01 Jun 2017,127 min,Drama,Nominated for 1 Oscar. 28 wins & 49 nominations total,86.0,7.6,"34,046",tt6304162,"$566,356",ko,2020-09-11,0.0,0.0
The Party,1968,04 Apr 1968,99 min,Comedy,1 nomination,,7.4,"41,737",tt0063415,,es,2019-12-25,0.0,0.0
The Party,1968,04 Apr 1968,99 min,Comedy,1 nomination,,7.4,"41,737",tt0063415,,en,2019-06-16,0.0,0.0
Nostalgia,2022,25 May 2022,117 min,Drama,7 wins & 18 nominations,76.0,6.8,"1,869",tt14034614,,it,2022-09-13,0.0,0.0
Nostalgia,2022,25 May 2022,117 min,Drama,7 wins & 18 nominations,76.0,6.8,"1,869",tt14034614,,en,2018-02-16,0.0,0.0
Nostalgia,2022,25 May 2022,117 min,Drama,7 wins & 18 nominations,76.0,6.8,"1,869",tt14034614,,vi,2021-10-15,0.0,0.0
Nostalgia,2022,25 May 2022,117 min,Drama,7 wins & 18 nominations,76.0,6.8,"1,869",tt14034614,,ar,2020-09-05,0.0,0.0
Black '47,2018,28 Sep 2018,100 min,"Action, Drama, History",2 wins & 6 nominations,65.0,6.8,"12,368",tt3208026,"$57,520",en,2018-09-05,0.0,0.0
Samson,2018,16 Feb 2018,110 min,"Action, Drama",,17.0,4.5,"4,739",tt6951892,"$4,719,928",en,2018-02-16,0.0,4873825.0
Samson,2018,16 Feb 2018,110 min,"Action, Drama",,17.0,4.5,"4,739",tt6951892,"$4,719,928",en,2019-03-04,0.0,0.0
Samson,2018,16 Feb 2018,110 min,"Action, Drama",,17.0,4.5,"4,739",tt6951892,"$4,719,928",en,2019-03-04,0.0,0.0
Game Night,2018,23 Feb 2018,100 min,"Action, Adventure, Comedy",4 wins & 21 nominations,66.0,6.9,"241,257",tt2704998,"$69,268,230",en,2018-02-22,37000000.0,117501013.0
Game Night,2018,23 Feb 2018,100 min,"Action, Adventure, Comedy",4 wins & 21 nominations,66.0,6.9,"241,257",tt2704998,"$69,268,230",en,2021-02-06,0.0,0.0
Game Night,2018,23 Feb 2018,100 min,"Action, Adventure, Comedy",4 wins & 21 nominations,66.0,6.9,"241,257",tt2704998,"$69,268,230",en,2021-02-06,0.0,0.0
Game Night,2018,23 Feb 2018,100 min,"Action, Adventure, Comedy",4 wins & 21 nominations,66.0,6.9,"241,257",tt2704998,"$69,268,230",en,2020-12-12,0.0,0.0
Game Night,2018,23 Feb 2018,100 min,"Action, Adventure, Comedy",4 wins & 21 nominations,66.0,6.9,"241,257",tt2704998,"$69,268,230",en,2019-01-18,0.0,0.0
Annihilation,2018,23 Feb 2018,115 min,"Adventure, Drama, Horror",17 wins & 64 nominations,79.0,6.8,"335,136",tt2798920,"$32,732,301",en,2018-02-22,40000000.0,43070915.0
Annihilation,2018,23 Feb 2018,115 min,"Adventure, Drama, Horror",17 wins & 64 nominations,79.0,6.8,"335,136",tt2798920,"$32,732,301",en,2018-06-23,0.0,0.0
Every Day,2018,23 Feb 2018,97 min,"Drama, Fantasy, Romance",1 nomination,52.0,6.4,"22,431",tt7026672,"$6,102,076",en,2018-02-22,4900000.0,10421847.0
Every Day,2018,23 Feb 2018,97 min,"Drama, Fantasy, Romance",1 nomination,52.0,6.4,"22,431",tt7026672,"$6,102,076",en,2021-02-26,0.0,0.0
The Cured,2017,23 Feb 2018,95 min,"Drama, Horror, Sci-Fi",2 nominations,57.0,5.6,"8,933",tt3463106,"$26,630",,,,
The Lodgers,2017,23 Feb 2018,92 min,"Drama, Horror, Mystery",4 wins & 4 nominations,52.0,5.1,"9,343",tt4399952,"$7,362",,,,
