Title,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language,budget_max,Format
Insidious: The Last Key,2018-01-05,103 min,"Horror, Mystery, Thriller",6 nominations,49.0,5.7,"62,852",tt5726086,67745330.0,English,10000000.0,others
The Strange Ones,2018-01-05,81 min,"Drama, Thriller",5 wins & 11 nominations,57.0,5.1,"2,741",tt6014904,,English,0.0,others
Stratton,2018-01-05,95 min,"Action, Thriller",,26.0,4.8,"5,398",tt3567666,,English,,others
Sweet Country,2018-04-06,113 min,"Adventure, Crime, Drama",22 wins & 29 nominations,88.0,6.9,"8,825",tt6958212,104297.0,"English, Aboriginal",0.0,others
The Commuter,2018-01-12,104 min,"Action, Mystery, Thriller",2 nominations,56.0,6.3,"118,862",tt1590193,36343858.0,"English, Spanish",30000000.0,others
Proud Mary,2018-01-12,89 min,"Action, Crime, Drama",1 win & 4 nominations,35.0,5.0,"10,240",tt6421110,20877013.0,"English, Russian",14000000.0,others
Acts of Violence,2018-01-12,86 min,"Action, Crime, Thriller",,28.0,5.3,"12,708",tt6684714,,English,0.0,others
Freak Show,2018-01-12,91 min,"Comedy, Drama",4 nominations,54.0,6.5,"4,371",tt5089534,19696.0,English,0.0,others
Humor Me,2018-01-12,93 min,Comedy,1 win & 1 nomination,53.0,6.1,"1,333",tt5658242,40099.0,English,,others
Vazante,2018-01-12,116 min,"Adventure, Drama",5 wins & 32 nominations,68.0,6.3,641,tt4673790,23884.0,Portuguese,2424713.0,others
Mary and the Witch's Flower,2017-07-08,103 min,"Animation, Adventure, Family",7 nominations,74.0,6.8,"14,943",tt6336356,2418404.0,Japanese,,others
12 Strong,2018-01-19,130 min,"Action, Drama, History",3 nominations,54.0,6.5,"85,069",tt1413492,45819713.0,"English, Dari, Russian, Spanish, Uzbek",35000000.0,others
Den of Thieves,2018-01-19,140 min,"Action, Crime, Drama",1 nomination,49.0,7.0,"116,418",tt1259528,44947622.0,"English, Polynesian, Spanish",30000000.0,others
Forever My Girl,2018-01-19,108 min,"Comedy, Drama, Music",,36.0,6.6,"18,746",tt4103724,16376066.0,English,3500000.0,others
Maze Runner: The Death Cure,2018-01-26,143 min,"Action, Adventure, Sci-Fi",7 nominations,50.0,6.2,"147,198",tt4500922,58032443.0,English,62000000.0,others
The Insult,2019-06-25,113 min,"Crime, Drama, Thriller",Nominated for 1 Oscar. 20 wins & 20 nominations total,72.0,7.6,"17,336",tt7048622,1001305.0,Arabic,,others
Please Stand By,2018-01-26,93 min,"Comedy, Drama",,49.0,6.7,"14,246",tt4652650,9868.0,"English, Klingon",0.0,others
Winchester,2018-02-02,99 min,"Drama, Fantasy, Horror",6 wins & 10 nominations,28.0,5.4,"35,122",tt1072748,25091816.0,English,3500000.0,others
A Fantastic Woman,2018-02-02,104 min,Drama,Won 1 Oscar. 32 wins & 42 nominations total,85.0,7.2,"26,347",tt5639354,2020988.0,"Spanish, Chinese",,others
Armed,2018-09-14,118 min,"Action, Thriller",1 nomination,,3.5,482,tt4824316,3948.0,English,0.0,others
The Cloverfield Paradox,2018-02-04,102 min,"Action, Adventure, Horror",1 nomination,37.0,5.5,"108,105",tt2548396,,"English, Mandarin, German",45000000.0,netflix
Bad Apples,2018-02-06,85 min,Horror,,,3.2,"1,792",tt7091300,,English,0.0,others
Peter Rabbit,2018-02-09,95 min,"Adventure, Comedy, Crime",4 wins & 17 nominations,51.0,6.6,"44,615",tt5117670,115253424.0,English,50000000.0,others
Fifty Shades Freed,2018-02-09,105 min,"Drama, Romance, Thriller",6 wins & 10 nominations,31.0,4.5,"68,360",tt4477536,100407760.0,English,55000000.0,others
The 15:17 to Paris,2018-02-09,94 min,"Biography, Drama, Thriller",1 win & 3 nominations,45.0,5.3,"34,574",tt6802308,36276286.0,"English, French, Arabic, German, Dutch",30000000.0,others
La boda de Valentina,2018-02-09,107 min,"Comedy, Romance",,,4.7,714,tt4823538,2783739.0,"Spanish, English",,others
Kri,2018-02-23,138 min,"Action, Drama",1 win & 1 nomination,,5.7,140,tt7528086,,Nepali,0.0,others
Permission,2018-02-09,96 min,"Comedy, Drama, Romance",,62.0,5.3,"4,686",tt5390066,,English,0.0,others
Monster Family,2018-02-09,93 min,"Animation, Comedy, Family",,,4.8,"5,100",tt6572702,127259.0,"English, German",,others
Golden Exits,2018-02-09,94 min,Drama,2 wins & 7 nominations,71.0,5.7,"2,231",tt5687814,41888.0,English,10000000.0,others
Black Panther,2018-02-16,134 min,"Action, Adventure, Sci-Fi",Won 3 Oscars. 117 wins & 282 nominations total,88.0,7.3,"795,068",tt1825683,700426566.0,"English, Swahili, Nama, Xhosa, Korean",200000000.0,others
Early Man,2018-02-16,89 min,"Animation, Adventure, Comedy",1 win & 15 nominations,68.0,6.1,"22,809",tt4701724,8267544.0,English,50000000.0,others
Loveless,2017-06-01,127 min,Drama,Nominated for 1 Oscar. 28 wins & 49 nominations total,86.0,7.6,"34,046",tt6304162,566356.0,"Russian, Portuguese, Uzbek",0.0,others
The Party,1968-04-04,99 min,Comedy,1 nomination,,7.4,"41,737",tt0063415,,"English, Italian, Russian, French, Cantonese",0.0,others
Nostalgia,2022-05-25,117 min,Drama,7 wins & 18 nominations,76.0,6.8,"1,869",tt14034614,,Italian,0.0,others
Black '47,2018-09-28,100 min,"Action, Drama, History",2 wins & 6 nominations,65.0,6.8,"12,368",tt3208026,57520.0,"English, Irish Gaelic",0.0,others
Samson,2018-02-16,110 min,"Action, Drama",,17.0,4.5,"4,739",tt6951892,4719928.0,English,0.0,others
Game Night,2018-02-23,100 min,"Action, Adventure, Comedy",4 wins & 21 nominations,66.0,6.9,"241,257",tt2704998,69268230.0,English,37000000.0,others
Annihilation,2018-02-23,115 min,"Adventure, Drama, Horror",17 wins & 64 nominations,79.0,6.8,"335,136",tt2798920,32732301.0,English,40000000.0,others
Every Day,2018-02-23,97 min,"Drama, Fantasy, Romance",1 nomination,52.0,6.4,"22,431",tt7026672,6102076.0,English,4900000.0,others
The Cured,2018-02-23,95 min,"Drama, Horror, Sci-Fi",2 nominations,57.0,5.6,"8,933",tt3463106,26630.0,English,,others
The Lodgers,2018-02-23,92 min,"Drama, Horror, Mystery",4 wins & 4 nominations,52.0,5.1,"9,343",tt4399952,7362.0,English,,others
Red Sparrow,2018-03-02,140 min,"Action, Drama, Thriller",3 wins & 9 nominations,53.0,6.6,"191,207",tt2873282,46874505.0,"English, Russian, Hungarian",69000000.0,others
Death Wish,2018-03-02,107 min,"Action, Crime, Drama",4 nominations,31.0,6.3,"73,701",tt1137450,34017028.0,"English, Spanish",30000000.0,others
The Vanishing of Sidney Hall,2018-03-02,119 min,"Drama, Mystery, Romance",,18.0,6.8,"11,273",tt1291566,,English,0.0,others
Foxtrot,2017-09-21,113 min,Drama,21 wins & 25 nominations,88.0,7.2,"7,780",tt6896536,618883.0,"Hebrew, German",0.0,others
Pickings,2018-08-03,103 min,"Action, Crime, Drama",9 wins & 15 nominations,,5.1,"1,076",tt4789822,,English,350000.0,others
A Wrinkle in Time,2018-03-09,109 min,"Adventure, Family, Fantasy",5 wins & 16 nominations,53.0,4.2,"46,059",tt1620680,100478608.0,English,103000000.0,others
Gringo,2018-03-09,111 min,"Action, Comedy, Crime",2 nominations,46.0,6.1,"31,068",tt3721964,4969853.0,"English, Spanish, French, Yoruba",0.0,others
Thoroughbreds,2018-03-09,92 min,"Comedy, Crime, Drama",1 win & 25 nominations,75.0,6.6,"44,601",tt5649108,3072605.0,English,0.0,others
