Title,Type,Release,Runtime,Genre,Nominations,Metascore,imdbRating,imdbVotes,imdbID,Budget,Gross
Les Misérables,Short,1909-11-27,2640,Short,,,6.4,25,tt0000969,,
The Governor,Movie,1915-3-29,3000,Drama,,,6.7,324,tt0005809,,
Les Misérables,Movie,1917-12-4,6000,Drama,,,6.7,36,tt0008305,,
Broken Blossoms,Movie,1919-10-20,5400,Drama,,,7.2,10676,tt0009968,88000,
Lost & Found,Short,1925-4-26,1200,Comedy,,,7.1,68,tt0016283,,
Sunrise,Movie,1927-11-4,5640,Drama,1,95,8.1,52143,tt0018455,200000,121107
Un chien andalou,Short,1929-6-6,960,Short,,,7.6,51548,tt0020530,,
The Blue Angel,Movie,1930-12-5,6240,Drama,,90,7.7,15627,tt0020697,500000,4410
May I Come In,Movie,1930-12-28,4320,Comedy,,,6.6,47,tt0021237,,
Golf Nuts,Short,2009-9-13,360,Animation,,,,0,tt0021255,,
Teilnehmer antwortet nicht,Movie,1932-11-29,4860,,,,,0,tt0023557,,
The World Gone Mad,Movie,1933-4-15,4800,Crime,,,4.7,553,tt0024787,,
March of the Wooden Soldiers,Movie,1934-12-14,4620,Comedy,,,7.1,7175,tt0024852,,
David Copperfield,Movie,1935-6-20,7800,Adventure,3,91,7.4,4492,tt0026266,,
Les Misérables,Movie,1935-4-20,6480,Drama,4,,7.7,3732,tt0026725,1000000,
Married Lady Needs Husband,Movie,1935-2-12,4320,Romance,,,,0,tt0027038,,
Scotland Yard Commands,Movie,1937-1-23,3660,Action,,,6.3,72,tt0027904,,
Reefer Madness,Movie,1938-12-1,3960,Comedy,,70,3.7,8894,tt0028346,,
My Favorite Wife,Movie,1940-5-17,5280,Comedy,3,,7.3,11013,tt0029284,,
Stardust,Movie,1938-3-25,4020,Comedy,,,4.3,40,tt0030221,,
Code of the Streets,Movie,1939-4-14,4320,Drama,,,5.6,45,tt0031167,,
Block Party,Movie,1939-3-7,5100,Drama,,,5.9,63,tt0032093,,
Beyond Tomorrow,Movie,1940-5-10,5040,Drama,,,6.5,2096,tt0032247,,
A Yank in the RAF,Movie,1942-2-9,5880,Action,1,,6.3,1495,tt0034405,200000,
Holiday Inn,Movie,1942-9-4,6000,Comedy,2,,7.3,16237,tt0034862,3200000,
The Jungle Book,Movie,1942-4-3,6480,Action,4,,6.7,4417,tt0034928,,3905444
Sherlock Holmes and the Secret Weapon,Movie,1943-2-12,4080,Adventure,,,6.5,6213,tt0035317,,
Tombstone: The Town Too Tough to Die,Movie,1942-6-13,4740,Western,,,6.0,187,tt0035450,,
Mouse at War,Short,1943-6-26,480,Animation,0,,7.7,1888,tt0036547,,
The Fighting Seabees,Movie,1944-7-10,6000,Drama,1,,6.4,3787,tt0036824,1500000,
Gaslight,Movie,1944-6-16,6840,Crime,5,78,7.8,30935,tt0036855,,
Passage to Marseille,Movie,1944-3-11,6540,Adventure,,,6.8,4736,tt0037166,,
3 Men in White,Movie,1945-3-15,5100,Comedy,,,6.1,308,tt0037373,450000,
Up in Arms,Movie,1944-3-27,6300,Comedy,2,,6.2,1065,tt0037420,2000000,
Death Mills,Short,1946-1-25,1320,Documentary,,,7.5,448,tt0038176,,
Gentleman's Agreement,Movie,1948-3-None,7080,Drama,5,,7.2,17057,tt0039416,1985000,
Easter Parade,Movie,1948-7-8,6180,Musical,0,,7.3,10513,tt0040308,2503654,
Fort Apache,Movie,1948-5-21,7680,Western,,,7.4,18857,tt0040369,2500000,
She Wore a Yellow Ribbon,Movie,1949-10-22,6240,Drama,0,87,7.2,18460,tt0041866,1600000,
Gun Crazy,Movie,1950-1-20,5220,Crime,,74,7.6,13876,tt0042530,400000,17322
Rio Grande,Movie,1950-11-15,6300,Romance,,,7.0,16824,tt0042895,1214899,
The Greatest Show on Earth,Movie,1952-5-None,9120,Drama,3,,6.6,15274,tt0044672,4000000,36000000
Last of the Comanches,Movie,1953-2-1,5100,Action,,,6.3,907,tt0044828,,
Les Miserables,Movie,1952-8-14,6300,Adventure,,,6.8,1091,tt0044907,,
General Electric Theater,TV Series,1953-2-1,1800,Comedy,11,,6.9,406,tt0045395,,
Shane,Movie,1953-8-14,7080,Drama,5,85,7.6,42182,tt0046303,3100000,
"Toot, Whistle, Plunk and Boom",Short,1953-11-10,600,Animation,0,,7.1,1498,tt0046442,,
The Ditch,Movie,1954-7-27,6660,Drama,,,7.3,107,tt0046919,,
The Lawrence Welk Show,TV Series,1955-6-6,3600,Family,1,,7.0,483,tt0047749,,
The Warriors,Movie,1955-9-11,5100,Adventure,,,5.8,716,tt0047975,,
The Trouble with Harry,Movie,1955-10-3,5940,Comedy,2,74,7.0,39600,tt0048750,1200000,
The Man Who Knew Too Much,Movie,1956-6-1,7200,Drama,0,76,7.4,66378,tt0049470,2500000,8190
The Music Room,Movie,1958-10-10,5700,Drama,,,7.9,6385,tt0051792,,3247
The Young Lions,Movie,1958-4-2,10020,Action,3,,7.1,8400,tt0052415,3550000,
Alias Jesse James,Movie,1959-3-20,5520,Comedy,,,6.4,1500,tt0052545,,
The World of Apu,Movie,1960-10-4,6300,Drama,1,,8.5,15341,tt0052572,,134241
Rio Bravo,Movie,1959-4-4,8460,Drama,,93,8.0,64545,tt0053221,,63
Cimarron,Movie,1961-1-22,8820,Drama,2,,6.4,3197,tt0053715,5421000,
Ocean's Eleven,Movie,1960-8-4,7620,Comedy,,57,6.5,23958,tt0054135,2800000,
Psycho,Movie,1960-9-8,6540,Horror,4,97,8.5,683417,tt0054215,806947,32052925
Holiday in Spain,Movie,1960-1-6,7500,Adventure,,,5.5,388,tt0054271,,
I Eat Your Skin,Movie,1971-10-29,5520,Horror,,,3.5,1581,tt0054724,,
Yojimbo,Movie,1961-9-13,6600,Action,1,93,8.2,125254,tt0055630,,46808
Crazy Desire,Movie,1962-3-16,6600,Comedy,,,6.8,510,tt0056665,,
The Birds,Movie,1963-3-29,7140,Drama,1,90,7.6,194551,tt0056869,2500000,53652
Paris When It Sizzles,Movie,1964-4-8,6600,Comedy,,,6.3,9030,tt0058453,4000000,10721
Viva Las Vegas,Movie,1964-5-20,5100,Comedy,,69,6.3,8561,tt0058725,1000000,
The Greatest Story Ever Told,Movie,1965-4-9,15600,Biography,5,,6.5,11038,tt0059245,20000000,
The Hallelujah Trail,Movie,1965-6-23,9900,Comedy,,,6.5,4178,tt0059250,7000000,
Man from Nowhere,Movie,1969-None-None,6240,Western,,,6.1,660,tt0060124,,
Sands of Beersheba,Movie,1964-None-None,5400,Drama,,,3.8,13,tt0060935,,
Common Law Cabin,Movie,1967-7-None,4200,Comedy,,,4.7,735,tt0061504,,
Bob Dylan: Dont Look Back,Movie,1968-2-24,5760,Documentary,,84,7.9,9664,tt0061589,,
Mondo Hollywood: Hollywood Laid Bare!,Movie,1967-7-None,7200,Documentary,,,6.1,186,tt0061988,,
Rowan & Martin's Laugh-In,TV Series,1967-9-9,3600,Comedy,27,,8.0,3350,tt0062601,,
"Buona Sera, Mrs. Campbell",Movie,1969-3-10,6480,Comedy,,,6.8,1705,tt0062767,,6901
For Men Only,Short,1967-10-None,2580,Short,,,5.0,75,tt0062986,,
Las Vegas Free-for-All,Movie,1968-1-25,9420,Adventure,,,5.5,16,tt0063202,,
The Producers,Movie,1968-11-10,5280,Comedy,1,96,7.5,57437,tt0063462,941000,375524
