,Title,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language,budget_max,Format
0,Insidious: The Last Key,2018-01-05,103 min,"Horror, Mystery, Thriller",6 nominations,49.0,5.7,"62,852",tt5726086,67745330.0,English,10000000.0,not_netflix
1,The Strange Ones,2018-01-05,81 min,"Drama, Thriller",5 wins & 11 nominations,57.0,5.1,"2,741",tt6014904,,English,0.0,not_netflix
2,Stratton,2018-01-05,95 min,"Action, Thriller",,26.0,4.8,"5,398",tt3567666,,English,,not_netflix
3,Sweet Country,2018-04-06,113 min,"Adventure, Crime, Drama",22 wins & 29 nominations,88.0,6.9,"8,825",tt6958212,104297.0,"English, Aboriginal",0.0,not_netflix
4,The Commuter,2018-01-12,104 min,"Action, Mystery, Thriller",2 nominations,56.0,6.3,"118,862",tt1590193,36343858.0,"English, Spanish",30000000.0,not_netflix
5,Proud Mary,2018-01-12,89 min,"Action, Crime, Drama",1 win & 4 nominations,35.0,5.0,"10,240",tt6421110,20877013.0,"English, Russian",14000000.0,not_netflix
6,Acts of Violence,2018-01-12,86 min,"Action, Crime, Thriller",,28.0,5.3,"12,708",tt6684714,,English,0.0,not_netflix
7,Freak Show,2018-01-12,91 min,"Comedy, Drama",4 nominations,54.0,6.5,"4,371",tt5089534,19696.0,English,0.0,not_netflix
8,Humor Me,2018-01-12,93 min,Comedy,1 win & 1 nomination,53.0,6.1,"1,333",tt5658242,40099.0,English,,not_netflix
9,Vazante,2018-01-12,116 min,"Adventure, Drama",5 wins & 32 nominations,68.0,6.3,641,tt4673790,23884.0,Portuguese,2424713.0,not_netflix
10,Mary and the Witch's Flower,2017-07-08,103 min,"Animation, Adventure, Family",7 nominations,74.0,6.8,"14,943",tt6336356,2418404.0,Japanese,,not_netflix
11,12 Strong,2018-01-19,130 min,"Action, Drama, History",3 nominations,54.0,6.5,"85,069",tt1413492,45819713.0,"English, Dari, Russian, Spanish, Uzbek",35000000.0,not_netflix
12,Den of Thieves,2018-01-19,140 min,"Action, Crime, Drama",1 nomination,49.0,7.0,"116,418",tt1259528,44947622.0,"English, Polynesian, Spanish",30000000.0,not_netflix
13,Forever My Girl,2018-01-19,108 min,"Comedy, Drama, Music",,36.0,6.6,"18,746",tt4103724,16376066.0,English,3500000.0,not_netflix
14,Maze Runner: The Death Cure,2018-01-26,143 min,"Action, Adventure, Sci-Fi",7 nominations,50.0,6.2,"147,198",tt4500922,58032443.0,English,62000000.0,not_netflix
15,The Insult,2019-06-25,113 min,"Crime, Drama, Thriller",Nominated for 1 Oscar. 20 wins & 20 nominations total,72.0,7.6,"17,336",tt7048622,1001305.0,Arabic,,not_netflix
16,Please Stand By,2018-01-26,93 min,"Comedy, Drama",,49.0,6.7,"14,246",tt4652650,9868.0,"English, Klingon",0.0,not_netflix
17,Winchester,2018-02-02,99 min,"Drama, Fantasy, Horror",6 wins & 10 nominations,28.0,5.4,"35,122",tt1072748,25091816.0,English,3500000.0,not_netflix
18,A Fantastic Woman,2018-02-02,104 min,Drama,Won 1 Oscar. 32 wins & 42 nominations total,85.0,7.2,"26,347",tt5639354,2020988.0,"Spanish, Chinese",,not_netflix
19,Armed,2018-09-14,118 min,"Action, Thriller",1 nomination,,3.5,482,tt4824316,3948.0,English,0.0,not_netflix
20,The Cloverfield Paradox,2018-02-04,102 min,"Action, Adventure, Horror",1 nomination,37.0,5.5,"108,105",tt2548396,,"English, Mandarin, German",45000000.0,netflix
21,Bad Apples,2018-02-06,85 min,Horror,,,3.2,"1,792",tt7091300,,English,0.0,not_netflix
22,Peter Rabbit,2018-02-09,95 min,"Adventure, Comedy, Crime",4 wins & 17 nominations,51.0,6.6,"44,615",tt5117670,115253424.0,English,50000000.0,not_netflix
23,Fifty Shades Freed,2018-02-09,105 min,"Drama, Romance, Thriller",6 wins & 10 nominations,31.0,4.5,"68,360",tt4477536,100407760.0,English,55000000.0,not_netflix
24,The 15:17 to Paris,2018-02-09,94 min,"Biography, Drama, Thriller",1 win & 3 nominations,45.0,5.3,"34,574",tt6802308,36276286.0,"English, French, Arabic, German, Dutch",30000000.0,not_netflix
25,La boda de Valentina,2018-02-09,107 min,"Comedy, Romance",,,4.7,714,tt4823538,2783739.0,"Spanish, English",,not_netflix
26,Kri,2018-02-23,138 min,"Action, Drama",1 win & 1 nomination,,5.7,140,tt7528086,,Nepali,0.0,not_netflix
27,Permission,2018-02-09,96 min,"Comedy, Drama, Romance",,62.0,5.3,"4,686",tt5390066,,English,0.0,not_netflix
28,Monster Family,2018-02-09,93 min,"Animation, Comedy, Family",,,4.8,"5,100",tt6572702,127259.0,"English, German",,not_netflix
29,Golden Exits,2018-02-09,94 min,Drama,2 wins & 7 nominations,71.0,5.7,"2,231",tt5687814,41888.0,English,10000000.0,not_netflix
30,Black Panther,2018-02-16,134 min,"Action, Adventure, Sci-Fi",Won 3 Oscars. 117 wins & 282 nominations total,88.0,7.3,"795,068",tt1825683,700426566.0,"English, Swahili, Nama, Xhosa, Korean",200000000.0,not_netflix
31,Early Man,2018-02-16,89 min,"Animation, Adventure, Comedy",1 win & 15 nominations,68.0,6.1,"22,809",tt4701724,8267544.0,English,50000000.0,not_netflix
32,Loveless,2017-06-01,127 min,Drama,Nominated for 1 Oscar. 28 wins & 49 nominations total,86.0,7.6,"34,046",tt6304162,566356.0,"Russian, Portuguese, Uzbek",0.0,not_netflix
33,The Party,1968-04-04,99 min,Comedy,1 nomination,,7.4,"41,737",tt0063415,,"English, Italian, Russian, French, Cantonese",0.0,not_netflix
34,Nostalgia,2022-05-25,117 min,Drama,7 wins & 18 nominations,76.0,6.8,"1,869",tt14034614,,Italian,0.0,not_netflix
35,Black '47,2018-09-28,100 min,"Action, Drama, History",2 wins & 6 nominations,65.0,6.8,"12,368",tt3208026,57520.0,"English, Irish Gaelic",0.0,not_netflix
36,Samson,2018-02-16,110 min,"Action, Drama",,17.0,4.5,"4,739",tt6951892,4719928.0,English,0.0,not_netflix
37,Game Night,2018-02-23,100 min,"Action, Adventure, Comedy",4 wins & 21 nominations,66.0,6.9,"241,257",tt2704998,69268230.0,English,37000000.0,not_netflix
38,Annihilation,2018-02-23,115 min,"Adventure, Drama, Horror",17 wins & 64 nominations,79.0,6.8,"335,136",tt2798920,32732301.0,English,40000000.0,not_netflix
39,Every Day,2018-02-23,97 min,"Drama, Fantasy, Romance",1 nomination,52.0,6.4,"22,431",tt7026672,6102076.0,English,4900000.0,not_netflix
40,The Cured,2018-02-23,95 min,"Drama, Horror, Sci-Fi",2 nominations,57.0,5.6,"8,933",tt3463106,26630.0,English,,not_netflix
41,The Lodgers,2018-02-23,92 min,"Drama, Horror, Mystery",4 wins & 4 nominations,52.0,5.1,"9,343",tt4399952,7362.0,English,,not_netflix
42,Red Sparrow,2018-03-02,140 min,"Action, Drama, Thriller",3 wins & 9 nominations,53.0,6.6,"191,207",tt2873282,46874505.0,"English, Russian, Hungarian",69000000.0,not_netflix
43,Death Wish,2018-03-02,107 min,"Action, Crime, Drama",4 nominations,31.0,6.3,"73,701",tt1137450,34017028.0,"English, Spanish",30000000.0,not_netflix
44,The Vanishing of Sidney Hall,2018-03-02,119 min,"Drama, Mystery, Romance",,18.0,6.8,"11,273",tt1291566,,English,0.0,not_netflix
45,Foxtrot,2017-09-21,113 min,Drama,21 wins & 25 nominations,88.0,7.2,"7,780",tt6896536,618883.0,"Hebrew, German",0.0,not_netflix
46,Pickings,2018-08-03,103 min,"Action, Crime, Drama",9 wins & 15 nominations,,5.1,"1,076",tt4789822,,English,350000.0,not_netflix
47,A Wrinkle in Time,2018-03-09,109 min,"Adventure, Family, Fantasy",5 wins & 16 nominations,53.0,4.2,"46,059",tt1620680,100478608.0,English,103000000.0,not_netflix
48,Gringo,2018-03-09,111 min,"Action, Comedy, Crime",2 nominations,46.0,6.1,"31,068",tt3721964,4969853.0,"English, Spanish, French, Yoruba",0.0,not_netflix
49,Thoroughbreds,2018-03-09,92 min,"Comedy, Crime, Drama",1 win & 25 nominations,75.0,6.6,"44,601",tt5649108,3072605.0,English,0.0,not_netflix
50,The Death of Stalin,2018-03-09,107 min,"Comedy, Drama, History",Nominated for 2 BAFTA 18 wins & 40 nominations total,88.0,7.2,"105,851",tt4686844,8047856.0,English,,not_netflix
51,The Leisure Seeker,2018-01-03,112 min,"Adventure, Comedy, Drama",3 wins & 11 nominations,45.0,6.7,"9,220",tt3741632,3226443.0,English,0.0,not_netflix
52,The Strangers: Prey at Night,2018-03-09,85 min,Horror,,48.0,5.2,"32,389",tt1285009,24586708.0,English,12500000.0,not_netflix
53,The Hurricane Heist,2018-03-09,103 min,"Action, Adventure, Crime",,35.0,5.1,"21,418",tt5360952,6115825.0,"American Sign , English",35000000.0,not_netflix
54,Tomb Raider,2018-03-16,119 min,"Action, Adventure, Fantasy",8 nominations,48.0,6.3,"218,447",tt1365519,58250803.0,"English, Cantonese, Hindi",94000000.0,not_netflix
55,"Love, Simon",2018-03-16,110 min,"Comedy, Drama, Romance",9 wins & 28 nominations,72.0,7.5,"118,357",tt5164432,40826341.0,"English, German, French",17000000.0,not_netflix
56,I Can Only Imagine,2018-03-16,110 min,"Biography, Drama, Family",6 wins & 5 nominations,30.0,7.3,"16,803",tt6450186,83482352.0,English,7000000.0,not_netflix
57,7 Days in Entebbe,2018-03-16,107 min,"Action, Drama, History",,49.0,5.9,"16,325",tt5466186,3326885.0,"English, German, French, Hebrew, Arabic",0.0,not_netflix
58,Furlough,2018-03-16,83 min,"Comedy, Drama",,,5.5,"1,988",tt5291792,8472.0,English,0.0,not_netflix
59,Josie,2018-03-16,100 min,"Drama, Thriller",2 wins,31.0,5.2,"3,374",tt4682780,,English,0.0,not_netflix
60,Flower,2018-03-16,90 min,"Comedy, Drama",1 nomination,45.0,6.0,"9,702",tt2582784,328188.0,English,,not_netflix
61,Pacific Rim: Uprising,2018-03-23,111 min,"Action, Adventure, Fantasy",6 nominations,44.0,5.6,"120,385",tt2557478,59874525.0,"English, Mandarin, Russian",150000000.0,not_netflix
62,Isle of Dogs,2018-04-13,101 min,"Animation, Adventure, Comedy",Nominated for 2 Oscars. 34 wins & 94 nominations total,82.0,7.8,"174,962",tt5104604,32015231.0,"English, Japanese",62770198.0,not_netflix
63,Sherlock Gnomes,2018-03-23,86 min,"Animation, Adventure, Comedy",1 win & 6 nominations,36.0,5.2,"13,063",tt2296777,43242871.0,"English, Mandarin",59000000.0,not_netflix
64,Unsane,2018-03-23,98 min,"Drama, Horror, Mystery",1 win & 5 nominations,63.0,6.4,"47,770",tt7153766,7732899.0,English,1500000.0,not_netflix
65,"Paul, Apostle of Christ",2018-03-23,108 min,"Adventure, Biography, Drama",5 wins & 5 nominations,52.0,6.6,"8,950",tt7388562,17560475.0,English,5000000.0,not_netflix
66,Final Portrait,2018-03-23,90 min,"Biography, Comedy, Drama",1 nomination,70.0,6.3,"5,817",tt4494718,461972.0,"English, French, Italian",,not_netflix
67,Midnight Sun,2018-03-23,91 min,"Drama, Romance",6 nominations,38.0,6.6,"33,083",tt4799066,9561064.0,English,2800000.0,not_netflix
68,Ready Player One,2018-03-29,140 min,"Action, Adventure, Sci-Fi",Nominated for 1 Oscar. 11 wins & 56 nominations total,64.0,7.4,"448,973",tt1677720,137715350.0,English,175000000.0,not_netflix
69,God's Not Dead: A Light in Darkness,2018-03-30,105 min,Drama,3 nominations,33.0,4.4,"4,186",tt6652708,5728940.0,English,0.0,not_netflix
70,Gemini,2018-03-30,93 min,"Crime, Drama, Mystery",1 win & 5 nominations,71.0,5.4,"5,314",tt5795086,200340.0,English,,not_netflix
71,The Last Movie Star,2018-03-30,94 min,Drama,3 wins & 2 nominations,46.0,7.0,"4,584",tt5836316,14410.0,English,0.0,not_netflix
