Title,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language,budget_max,Format
The Strange Ones,2018-01-05,81 min,"Drama, Thriller",5 wins & 11 nominations,57.0,5.1,"2,741",tt6014904,,English,0.0,others
Stratton,2018-01-05,95 min,"Action, Thriller",,26.0,4.8,"5,398",tt3567666,,English,,others
Acts of Violence,2018-01-12,86 min,"Action, Crime, Thriller",,28.0,5.3,"12,708",tt6684714,,English,0.0,others
The Cloverfield Paradox,2018-02-04,102 min,"Action, Adventure, Horror",1 nomination,37.0,5.5,"108,105",tt2548396,,"English, Mandarin, German",45000000.0,netflix
Bad Apples,2018-02-06,85 min,Horror,,,3.2,"1,792",tt7091300,,English,0.0,others
Kri,2018-02-23,138 min,"Action, Drama",1 win & 1 nomination,,5.7,140,tt7528086,,Nepali,0.0,others
Permission,2018-02-09,96 min,"Comedy, Drama, Romance",,62.0,5.3,"4,686",tt5390066,,English,0.0,others
Nostalgia,2022-05-25,117 min,Drama,7 wins & 18 nominations,76.0,6.8,"1,869",tt14034614,,Italian,0.0,others
The Vanishing of Sidney Hall,2018-03-02,119 min,"Drama, Mystery, Romance",,18.0,6.8,"11,273",tt1291566,,English,0.0,others
Pickings,2018-08-03,103 min,"Action, Crime, Drama",9 wins & 15 nominations,,5.1,"1,076",tt4789822,,English,350000.0,others
Josie,2018-03-16,100 min,"Drama, Thriller",2 wins,31.0,5.2,"3,374",tt4682780,,English,0.0,others
Backstabbing for Beginners,2018-04-27,108 min,"Drama, History, Romance",1 nomination,48.0,6.3,"5,514",tt5153288,,"English, Persian, French",0.0,others
Ocean's 8: Reimagining the Met Gala,2018-09-11,13 min,"Documentary, Short",,,7.1,21,tt9108974,,English,,others
The Domestics,2018-06-29,95 min,"Action, Horror, Sci-Fi",,,5.7,"10,216",tt5591666,,English,0.0,others
The Cleanse,2018-05-04,81 min,"Comedy, Drama, Fantasy",6 wins & 4 nominations,58.0,5.1,"3,945",tt3734354,,English,0.0,others
Terminal,2018-05-11,95 min,"Comedy, Crime, Drama",2 nominations,27.0,5.3,"23,518",tt4463816,,English,2700.0,others
In Darkness,2018-05-25,110 min,"Mystery, Thriller",,59.0,5.7,"13,727",tt5164184,,"English, Serbo-Croatian, Russian",0.0,others
Future World,2018-05-25,88 min,"Action, Adventure, Sci-Fi",,10.0,3.2,"6,520",tt5737536,,English,0.0,others
Hot Summer Nights,2018-07-27,107 min,"Crime, Drama, Romance",2 nominations,44.0,6.3,"20,557",tt3416536,,English,0.0,others
Extinction,2018-07-27,95 min,"Action, Drama, Sci-Fi",1 win,40.0,5.8,"54,648",tt3201640,,English,0.0,netflix
Down a Dark Hall,2018-08-17,96 min,"Drama, Fantasy, Horror",1 nomination,56.0,5.0,"14,453",tt2372251,,English,0.0,others
Destination Wedding,2018-09-07,87 min,"Comedy, Drama, Romance",,46.0,6.0,"31,263",tt6987770,,"English, Spanish",0.0,others
Reprisal,2018-10-16,89 min,"Action, Drama, Thriller",,19.0,4.3,"7,805",tt6547170,,English,500.0,others
Hell House LLC II: The Abaddon Hotel,2018-09-20,89 min,"Horror, Mystery",,,5.3,"4,872",tt8707374,,English,0.0,others
My Son,2021-09-15,95 min,"Crime, Drama, Mystery",,,6.0,"12,978",tt13234058,,"English, Gaelic",0.0,others
Power of the Air,2018-10-02,90 min,Drama,,,7.0,79,tt3554938,,English,0.0,others
After Everything,2018-10-12,95 min,"Comedy, Drama, Romance",2 nominations,67.0,6.4,"1,787",tt6688022,,English,0.0,others
The Ballad of Buster Scruggs,2018-11-09,133 min,"Comedy, Drama, Musical",Nominated for 3 Oscars. 7 wins & 42 nominations total,79.0,7.3,"153,067",tt6412452,,"English, French",0.0,netflix
Conundrum: Secrets Among Friends,2023-12-29,112 min,"Drama, Thriller",,,,,tt7251692,,English,,others
Roma,2018-12-14,135 min,Drama,Won 3 Oscars. 252 wins & 219 nominations total,96.0,7.7,"162,589",tt6155172,,"Spanish, Mixtec, English, Japanese, German, French, Norwegian",15000000.0,netflix
Mowgli: Legend of the Jungle,2018-12-07,104 min,"Adventure, Drama, Fantasy",7 nominations,51.0,6.5,"63,529",tt2388771,,"English, Hindi",175000000.0,netflix
The Cabin,2018-12-04,86 min,"Horror, Mystery, Thriller",,,2.8,597,tt5963066,,English,0.0,others
Black Mirror: Bandersnatch,2018-12-28,90 min,"Drama, Fantasy, Mystery",Won 1 Primetime Emmy. 5 wins & 10 nominations total,,7.1,"129,427",tt9495224,,English,0.0,others
Rust Creek,2019-01-04,108 min,"Crime, Drama, Thriller",9 wins,59.0,5.9,"12,284",tt6610158,,English,750000.0,others
American Hangman,2019-01-04,99 min,Thriller,1 nomination,38.0,5.9,"3,635",tt8975028,,English,0.0,others
After Darkness,2019-01-15,98 min,"Drama, Sci-Fi, Thriller",,,3.7,"1,170",tt2728784,,English,0.0,others
Close,2019-01-18,94 min,"Action, Drama, Thriller",1 nomination,51.0,5.7,"25,739",tt5316540,,"Arabic, French, English",0.0,others
The Standoff at Sparrow Creek,2019-01-18,88 min,"Crime, Drama, Thriller",1 win & 1 nomination,62.0,6.1,"4,299",tt5304996,,English,450000.0,others
I Am Mother,2019-06-07,113 min,"Drama, Mystery, Sci-Fi",4 wins & 6 nominations,64.0,6.7,"93,924",tt6292852,,English,0.0,others
The Vast of Night,2020-05-29,91 min,"Drama, Mystery, Sci-Fi",12 wins & 44 nominations,84.0,6.7,"41,055",tt6803046,,English,0.0,others
Velvet Buzzsaw,2019-02-01,113 min,"Horror, Mystery, Thriller",1 win & 3 nominations,61.0,5.7,"63,041",tt7043012,,"English, Chinese, Italian",21000000.0,netflix
High Flying Bird,2019-02-08,90 min,"Drama, Sport",7 nominations,78.0,6.2,"8,915",tt8128188,,English,0.0,netflix
Triple Frontier,2019-03-13,125 min,"Action, Thriller",3 nominations,61.0,6.4,"134,346",tt1488606,,"English, Spanish, Portuguese",0.0,netflix
The Highwaymen,2019-03-29,132 min,"Biography, Crime, Drama",3 nominations,58.0,6.9,"95,195",tt1860242,,"English, Spanish",49000000.0,netflix
Red 11,2018-08-10,86 min,"Horror, Sci-Fi, Thriller",1 nomination,,4.9,484,tt7837402,,English,7000.0,others
Never Grow Old,2019-12-27,100 min,"Drama, Western",3 wins & 3 nominations,65.0,6.0,"4,343",tt1158939,,"English, Italian",12000000.0,others
The Dirt,2019-03-22,107 min,"Biography, Comedy, Drama",1 win,39.0,7.0,"51,829",tt0800325,,English,0.0,netflix
Dragged Across Concrete,2019-03-22,159 min,"Action, Crime, Drama",5 nominations,60.0,6.9,"49,564",tt6491178,,"English, Spanish",15000000.0,others
Unicorn Store,2019-04-05,92 min,"Comedy, Drama, Fantasy",2 nominations,44.0,5.6,"19,958",tt2338454,,English,,netflix
The Haunting of Sharon Tate,2019-04-05,94 min,"Drama, Horror, Thriller",4 wins & 4 nominations,8.0,2.9,"4,218",tt7976208,,English,0.0,others
The Silence,2019-04-10,90 min,"Drama, Horror, Sci-Fi",,25.0,5.3,"47,288",tt7315484,,"English, American Sign ",0.0,others
Someone Great,2019-04-19,92 min,"Comedy, Romance",,63.0,6.1,"23,678",tt8075260,,English,0.0,netflix
I Spit on Your Grave: Deja Vu,2019-04-23,148 min,"Horror, Thriller",,,2.4,"3,066",tt4058836,,English,,others
I Trapped the Devil,2019-04-26,82 min,"Crime, Drama, Fantasy",2 nominations,47.0,4.8,"2,886",tt8708304,,English,1000000.0,others
"Extremely Wicked, Shockingly Evil and Vile",2019-05-03,110 min,"Biography, Crime, Drama",5 wins & 5 nominations,52.0,6.7,"96,807",tt2481498,,English,0.0,others
The Last Summer,2019-05-03,109 min,"Comedy, Romance",3 nominations,,5.5,"13,671",tt7957694,,English,0.0,netflix
The Professor and the Madman,2019-05-10,124 min,"Biography, Drama, History",1 nomination,27.0,7.2,"47,798",tt5932728,,English,25000000.0,others
The Professor,2019-05-17,90 min,"Comedy, Drama",1 nomination,37.0,6.7,"33,979",tt6865690,,"English, Spanish",0.0,others
The Perfection,2019-05-24,90 min,"Drama, Horror, Music",3 wins,60.0,6.2,"46,061",tt7772580,,"English, Mandarin",0.0,netflix
Always Be My Maybe,2019-05-31,101 min,"Comedy, Romance",1 win & 5 nominations,64.0,6.8,"58,354",tt7374948,,English,0.0,netflix
Changeland,2019-06-07,86 min,"Comedy, Drama",,42.0,5.7,"2,431",tt6612946,,"English, Thai",0.0,others
