Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language
Insidious: The Last Key,2018,05 Jan 2018,103 min,"Horror, Mystery, Thriller",6 nominations,49,5.7,"62,852",tt5726086,"$67,745,330",English
The Strange Ones,2017,05 Jan 2018,81 min,"Drama, Thriller",5 wins & 11 nominations,57,5.1,"2,741",tt6014904,N/A,English
Stratton,2017,05 Jan 2018,95 min,"Action, Thriller",N/A,26,4.8,"5,398",tt3567666,N/A,English
Sweet Country,2017,06 Apr 2018,113 min,"Adventure, Crime, Drama",22 wins & 29 nominations,88,6.9,"8,825",tt6958212,"$104,297","English, Aboriginal"
The Commuter,2018,12 Jan 2018,104 min,"Action, Mystery, Thriller",2 nominations,56,6.3,"118,862",tt1590193,"$36,343,858","English, Spanish"
Proud Mary,2018,12 Jan 2018,89 min,"Action, Crime, Drama",1 win & 4 nominations,35,5.0,"10,240",tt6421110,"$20,877,013","English, Russian"
Acts of Violence,2018,12 Jan 2018,86 min,"Action, Crime, Thriller",N/A,28,5.3,"12,708",tt6684714,N/A,English
Freak Show,2017,12 Jan 2018,91 min,"Comedy, Drama",4 nominations,54,6.5,"4,371",tt5089534,"$19,696",English
Humor Me,2017,12 Jan 2018,93 min,Comedy,1 win & 1 nomination,53,6.1,"1,333",tt5658242,"$40,099",English
Vazante,2017,12 Jan 2018,116 min,"Adventure, Drama",5 wins & 32 nominations,68,6.3,641,tt4673790,"$23,884",Portuguese
Mary and the Witch's Flower,2017,08 Jul 2017,103 min,"Animation, Adventure, Family",7 nominations,74,6.8,"14,943",tt6336356,"$2,418,404",Japanese
12 Strong,2018,19 Jan 2018,130 min,"Action, Drama, History",3 nominations,54,6.5,"85,069",tt1413492,"$45,819,713","English, Dari, Russian, Spanish, Uzbek"
Den of Thieves,2018,19 Jan 2018,140 min,"Action, Crime, Drama",1 nomination,49,7.0,"116,418",tt1259528,"$44,947,622","English, Polynesian, Spanish"
Forever My Girl,2018,19 Jan 2018,108 min,"Comedy, Drama, Music",N/A,36,6.6,"18,746",tt4103724,"$16,376,066",English
Maze Runner: The Death Cure,2018,26 Jan 2018,143 min,"Action, Adventure, Sci-Fi",7 nominations,50,6.2,"147,198",tt4500922,"$58,032,443",English
The Insult,2017,25 Jun 2019,113 min,"Crime, Drama, Thriller",Nominated for 1 Oscar. 20 wins & 20 nominations total,72,7.6,"17,336",tt7048622,"$1,001,305",Arabic
Please Stand By,2017,26 Jan 2018,93 min,"Comedy, Drama",N/A,49,6.7,"14,246",tt4652650,"$9,868","English, Klingon"
Winchester,2018,02 Feb 2018,99 min,"Drama, Fantasy, Horror",6 wins & 10 nominations,28,5.4,"35,122",tt1072748,"$25,091,816",English
A Fantastic Woman,2017,02 Feb 2018,104 min,Drama,Won 1 Oscar. 32 wins & 42 nominations total,85,7.2,"26,347",tt5639354,"$2,020,988","Spanish, Chinese"
Armed,2018,14 Sep 2018,118 min,"Action, Thriller",1 nomination,N/A,3.5,482,tt4824316,"$3,948",English
The Cloverfield Paradox,2018,04 Feb 2018,102 min,"Action, Adventure, Horror",1 nomination,37,5.5,"108,105",tt2548396,N/A,"English, Mandarin, German"
Bad Apples,2018,06 Feb 2018,85 min,Horror,N/A,N/A,3.2,"1,792",tt7091300,N/A,English
Peter Rabbit,2018,09 Feb 2018,95 min,"Adventure, Comedy, Crime",4 wins & 17 nominations,51,6.6,"44,615",tt5117670,"$115,253,424",English
Fifty Shades Freed,2018,09 Feb 2018,105 min,"Drama, Romance, Thriller",6 wins & 10 nominations,31,4.5,"68,360",tt4477536,"$100,407,760",English
The 15:17 to Paris,2018,09 Feb 2018,94 min,"Biography, Drama, Thriller",1 win & 3 nominations,45,5.3,"34,574",tt6802308,"$36,276,286","English, French, Arabic, German, Dutch"
La boda de Valentina,2018,09 Feb 2018,107 min,"Comedy, Romance",N/A,N/A,4.7,714,tt4823538,"$2,783,739","Spanish, English"
