Title,Genre,Premiere,Runtime,Language
The Polka King,Comedy drama,12-Jan-18,1 h 34 min,English
Step Sisters,Comedy,19-Jan-18,1 h 48 min,English
The Open House,Horror thriller,19-Jan-18,1 h 34 min,English
A Futile and Stupid Gesture,Biographical / Comedy,26-Jan-18,1 h 41 min,English
The Cloverfield Paradox,Science fiction,04-Feb-18,1 h 42 min,English
When We First Met,Romantic comedy,09-Feb-18,1 h 37 min,English
Love Per Square Foot,Romantic comedy,14-Feb-18,2 h 13 min,Hindi
Irreplaceable You,Drama,16-Feb-18,1 h 36 min,English
Mute,Science fiction / Mystery,23-Feb-18,2 h 6 min,English
The Outsider,Crime drama,09-Mar-18,2 h,English
Benji,Family,16-Mar-18,1 h 27 min,English
"Game Over, Man!",Action / Comedy,23-Mar-18,1 h 41 min,English
Paradox,Musical / Western / Fantasy,23-Mar-18,1 h 13 min,English
Roxanne Roxanne,Biopic,23-Mar-18,1 h 40 min,English
Happy Anniversary,Romantic comedy,30-Mar-18,1 h 18 min,English
First Match,Sports-drama,30-Mar-18,1 h 42 min,English
6 Balloons,Drama,06-Apr-18,1 h 15 min,English
Amateur,Sports-drama,06-Apr-18,1 h 36 min,English
Come Sunday,Biopic,13-Apr-18,1 h 45 min,English
I Am Not an Easy Man,Romantic comedy,13-Apr-18,1 h 38 min,French
Dude,Teen comedy-drama,20-Apr-18,1 h 37 min,English
Candy Jar,Comedy,27-Apr-18,1 h 32 min,English
The Week Of,Comedy,27-Apr-18,1 h 56 min,English
Sometimes,Drama,01-May-18,1 h 41 min,Tamil
Forgive Us Our Debts,Drama,04-May-18,1 h 44 min,Italian
The Kissing Booth,Romantic comedy,11-May-18,1 h 46 min,English
Cargo,Drama / Horror,18-May-18,1 h 44 min,English
Ibiza,Comedy,25-May-18,1 h 34 min,English
Alex Strangelove,Romantic comedy,08-Jun-18,1 h 39 min,English
Set It Up,Romantic comedy,15-Jun-18,1 h 45 min,English
Lust Stories,Drama,15-Jun-18,2 h,Hindi
"To Each, Her Own",Romantic comedy,24-Jun-18,1 h 35 min,French
Calibre,Thriller,29-Jun-18,1 h 41 min,English
TAU,Science fiction / Thriller,29-Jun-18,1 h 37 min,English
The Legacy of a Whitetail Deer Hunter,Adventure / Comedy,06-Jul-18,1 h 23 min,English
How It Ends,Action-thriller,13-Jul-18,1 h 53 min,English
Father of the Year,Comedy,20-Jul-18,1 h 34 min,English
Extinction,Science fiction / Thriller,27-Jul-18,1 h 35 min,English
Brij Mohan Amar Rahe,Comedy,03-Aug-18,1 h 40 min,Hindi
Like Father,Comedy,03-Aug-18,1 h 43 min,English
The Package,Black comedy,10-Aug-18,1 h 34 min,English
To All the Boys I’ve Loved Before,Romantic comedy,17-Aug-18,1 h 40 min,English
The After Party,Comedy,24-Aug-18,1 h 29 min,English
Sierra Burgess Is a Loser,Romantic comedy-drama,07-Sep-18,1 h 46 min,English
The Most Assassinated Woman in the World,Thriller,07-Sep-18,1 h 42 min,French
On My Skin,Crime drama,12-Sep-18,1 h 40 min,Italian
The Land of Steady Habits,Drama,14-Sep-18,1 h 38 min,English
The Angel,Spy thriller,14-Sep-18,1 h 54 min,English
Nappily Ever After,Comedy drama,21-Sep-18,1 h 38 min,English
Hold the Dark,Thriller,28-Sep-18,2 h 5 min,English
Malevolent,Horror-thriller,05-Oct-18,1 h 28 min,English
Private Life,Drama,05-Oct-18,2 h 4 min,English
22-Jul,Drama,10-Oct-18,2 h 24 min,English
Apostle,Horror-thriller,12-Oct-18,2 h 10 min,English
The Night Comes for Us,Action-thriller,19-Oct-18,2 h,Indonesian
Been So Long,Musical,26-Oct-18,1 h 40 min,English
The Holiday Calendar,Romantic comedy,02-Nov-18,1 h 35 min,English
The Other Side of the Wind,Drama,02-Nov-18,2 h 2 min,English
Outlaw King,Historical-epic,09-Nov-18,2 h 1 min,English
The Princess Switch,Romantic comedy,16-Nov-18,1 h 42 min,English
Cam,Psychological horror,16-Nov-18,1 h 34 min,English
The Ballad of Buster Scruggs,Western,16-Nov-18,2 h 13 min,English
The Christmas Chronicles,Christmas / Fantasy / Adventure / Comedy,22-Nov-18,1 h 45 min,English
A Christmas Prince: The Royal Wedding,Romantic comedy,30-Nov-18,1 h 33 min,English
Rajma Chawal,Comedy drama,30-Nov-18,1 h 58 min,Hindi
5 Star Christmas,Comedy,07-Dec-18,1 h 35 min,Italian
Mowgli: Legend of the Jungle,Adventure,07-Dec-18,1 h 44 min,English
Roma,Drama,14-Dec-18,2 h 14 min,Spanish
